	ID	KO	N_control	N_disease	AveExpr_control	AveExpr_disease	FC	P.Value
K10107	K10107	K10107: capsular polysaccharide transport system permease protein	72	14	1.39E-08	0	0	0.869913867
K02668	K02668	"K02668: two-component system, NtrC family, sensor histidine kinase PilS [EC:2.7.13.3]"	72	14	8.41E-07	0	0	0.869913867
K15263	K15263	K15263: NO_NAME	72	14	1.21E-07	0	0	0.869913867
K15455	K15455	K15455: NO_NAME	72	14	2.19E-07	0	0	0.869913867
K13486	K13486	K13486: chemotaxis protein methyltransferase WspC	72	14	7.93E-07	0	0	0.869913867
K02448	K02448	K02448: nitric-oxide reductase NorD protein	72	14	5.80E-07	0	0	0.869913867
K02951	K02951	K02951: small subunit ribosomal protein S12e	72	14	1.03E-07	0	0	0.869913867
K07218	K07218	K07218: nitrous oxidase accessory protein	72	14	5.30E-07	0	0	0.869913867
K10531	K10531	K10531: L-ornithine N5-oxygenase	72	14	3.34E-07	0	0	0.869913867
K00500	K00500	K00500: phenylalanine-4-hydroxylase [EC:1.14.16.1]	72	14	9.32E-07	0	0	0.869913867
K13102	K13102	K13102: NO_NAME	72	14	1.98E-07	0	0	0.869913867
K01451	K01451	K01451: hippurate hydrolase [EC:3.5.1.32]	72	14	9.65E-06	2.40E-05	2.486145573	0.869913867
K18675	K18675	"K18675: N,N'-diacetylchitobiose phosphorylase [EC:2.4.1.280]"	72	14	2.21E-07	0	0	0.869913867
K10863	K10863	K10863: aprataxin	72	14	2.28E-07	0	0	0.869913867
K02442	K02442	K02442: membrane protein GlpM	72	14	8.45E-07	0	0	0.869913867
K18676	K18676	K18676: glucosamine kinase [EC:2.7.1.8]	72	14	2.95E-08	0	0	0.869913867
K10295	K10295	K10295: F-box protein 9	72	14	1.96E-07	0	0	0.869913867
K13107	K13107	K13107: NO_NAME	72	14	1.26E-07	0	0	0.869913867
K00508	K00508	K00508: linoleoyl-CoA desaturase [EC:1.14.19.3]	72	14	1.91E-07	0	0	0.869913867
K07338	K07338	K07338: hypothetical protein	72	14	7.16E-07	0	0	0.869913867
K03014	K03014	"K03014: DNA-directed RNA polymerases I, II, and III subunit RPABC2"	72	14	1.26E-07	0	0	0.869913867
K07222	K07222	K07222: putative flavoprotein involved in K+ transport	72	14	1.20E-08	0	0	0.869913867
K13060	K13060	K13060: acyl homoserine lactone synthase [EC:2.3.1.184]	72	14	9.93E-07	0	0	0.869913867
K19344	K19344	K19344: NO_NAME	72	14	1.09E-06	0	0	0.869913867
K19341	K19341	K19341: Cu-processing system permease protein	72	14	3.23E-07	0	0	0.869913867
K10689	K10689	K10689: peroxin-4	72	14	3.27E-07	0	0	0.869913867
K10573	K10573	K10573: ubiquitin-conjugating enzyme E2 A [EC:2.3.2.23]	72	14	7.43E-08	0	0	0.869913867
K07252	K07252	K07252: dolichyldiphosphatase [EC:3.6.1.43]	72	14	7.11E-08	0	0	0.869913867
K10941	K10941	"K10941: sigma-54 specific transcriptional regulator, flagellar regulatory protein A"	72	14	5.89E-07	0	0	0.869913867
K13590	K13590	K13590: diguanylate cyclase [EC:2.7.7.65]	72	14	7.33E-07	0	0	0.869913867
K03805	K03805	K03805: thiol:disulfide interchange protein DsbG	72	14	6.25E-05	6.43E-05	1.028957639	0.869913867
K02508	K02508	"K02508: AraC family transcriptional regulator, 4-hydroxyphenylacetate"	72	14	9.61E-07	0	0	0.869913867
K10957	K10957	K10957: DNA repair protein RAD55	72	14	1.41E-07	0	0	0.869913867
K07231	K07231	K07231: putative iron-regulated protein	72	14	5.28E-07	0	0	0.869913867
K03519	K03519	K03519: carbon-monoxide dehydrogenase medium subunit [EC:1.2.7.4]	72	14	4.54E-08	0	0	0.869913867
K02625	K02625	"K02625: MFS transporter, MHS family, dicarboxylic acid transporter PcaT"	72	14	1.09E-06	0	0	0.869913867
K02954	K02954	K02954: small subunit ribosomal protein S14	72	14	0.001427715	0.001395862	0.977689011	0.869913867
K13491	K13491	"K13491: two-component system, chemotaxis family, response regulator WspF [EC:3.1.1.61]"	72	14	7.64E-07	0	0	0.869913867
K02676	K02676	K02676: type IV pilus assembly protein PilZ	72	14	8.46E-07	0	0	0.869913867
K12991	K12991	K12991: NO_NAME	72	14	1.07E-07	0	0	0.869913867
K13113	K13113	K13113: ubiquitin-like protein 5	72	14	1.54E-07	0	0	0.869913867
K13818	K13818	K13818: NO_NAME	72	14	2.38E-06	1.72E-05	7.221433747	0.869913867
K00569	K00569	K00569: thiopurine S-methyltransferase [EC:2.1.1.67]	72	14	6.17E-07	0	0	0.869913867
K17315	K17315	K17315: glucose/mannose transport system substrate-binding protein	72	14	5.43E-08	0	0	0.869913867
K15864	K15864	K15864: nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	72	14	7.92E-07	0	0	0.869913867
K02667	K02667	"K02667: two-component system, NtrC family, response regulator PilR"	72	14	6.80E-07	0	0	0.869913867
K13853	K13853	K13853: 3-deoxy-7-phosphoheptulonate synthase / chorismate mutase [EC:2.5.1.54 5.4.99.5]	72	14	4.55E-08	0	0	0.869913867
K19295	K19295	K19295: NO_NAME	72	14	6.67E-07	0	0	0.869913867
K00481	K00481	K00481: p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]	72	14	9.91E-07	0	0	0.869913867
K00480	K00480	K00480: salicylate hydroxylase [EC:1.14.13.1]	72	14	3.46E-06	1.29E-06	0.374111009	0.869913867
K01003	K01003	K01003: oxaloacetate decarboxylase [EC:4.1.1.3]	72	14	8.83E-07	0	0	0.869913867
K02347	K02347	K02347: DNA polymerase (family X)	72	14	3.64E-08	0	0	0.869913867
K00066	K00066	K00066: GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	72	14	8.10E-07	0	0	0.869913867
K07943	K07943	K07943: ADP-ribosylation factor-like 2	72	14	2.61E-07	0	0	0.869913867
K01573	K01573	"K01573: oxaloacetate decarboxylase, gamma subunit [EC:4.1.1.3]"	72	14	0.0001611	0.000190039	1.179634888	0.869913867
K19293	K19293	K19293: NO_NAME	72	14	7.26E-07	0	0	0.869913867
K15856	K15856	K15856: GDP-4-dehydro-6-deoxy-D-mannose reductase [EC:1.1.1.281]	72	14	1.25E-06	0	0	0.869913867
K01434	K01434	K01434: penicillin amidase [EC:3.5.1.11]	72	14	2.86E-08	0	0	0.869913867
K19296	K19296	K19296: NO_NAME	72	14	5.94E-07	0	0	0.869913867
K15325	K15325	K15325: NO_NAME	72	14	8.36E-08	0	0	0.869913867
K10998	K10998	K10998: replication fork protection complex subunit Csm3/Swi3	72	14	5.03E-08	0	0	0.869913867
K11002	K11002	K11002: GPI-N-acetylglucosaminyltransferase	72	14	6.54E-07	0	0	0.869913867
K12976	K12976	K12976: NO_NAME	72	14	8.19E-07	0	0	0.869913867
K02657	K02657	K02657: twitching motility two-component system response regulator PilG	72	14	1.46E-06	0	0	0.869913867
K00496	K00496	K00496: alkane 1-monooxygenase [EC:1.14.15.3]	72	14	1.44E-06	0	0	0.869913867
K10195	K10195	K10195: oligogalacturonide transport system ATP-binding protein	72	14	9.18E-08	0	0	0.869913867
K02658	K02658	K02658: twitching motility two-component system response regulator PilH	72	14	9.23E-07	0	0	0.869913867
K07116	K07116	K07116: NO_NAME	72	14	7.01E-07	0	0	0.869913867
K00737	K00737	"K00737: beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]"	72	14	5.25E-08	0	0	0.869913867
K19609	K19609	"K19609: two-component system, OmpR family, sensor histidine kinase PfeS [EC:2.7.13.3]"	72	14	7.18E-07	0	0	0.869913867
K02659	K02659	K02659: twitching motility protein PilI	72	14	7.11E-07	0	0	0.869913867
K02660	K02660	K02660: twitching motility protein PilJ	72	14	5.97E-08	0	0	0.869913867
K17940	K17940	K17940: 2-heptyl-3-hydroxy-4(1H)-quinolone synthase [EC:1.14.13.182]	72	14	7.32E-07	0	0	0.869913867
K07823	K07823	K07823: 3-oxoadipyl-CoA thiolase [EC:2.3.1.174]	72	14	1.01E-06	0	0	0.869913867
K03029	K03029	K03029: 26S proteasome regulatory subunit N10	72	14	8.41E-08	0	0	0.869913867
K10126	K10126	"K10126: two-component system, NtrC family, C4-dicarboxylate transport response regulator DctD"	72	14	6.88E-07	0	0	0.869913867
K01004	K01004	K01004: phosphatidylcholine synthase [EC:2.7.8.24]	72	14	6.77E-07	0	0	0.869913867
K04719	K04719	"K04719: 5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]"	72	14	3.90E-07	0	0	0.869913867
K12252	K12252	K12252: arginine:pyruvate transaminase [EC:2.6.1.84]	72	14	1.05E-06	0	0	0.869913867
K03258	K03258	K03258: translation initiation factor 4B	72	14	9.87E-08	0	0	0.869913867
K01113	K01113	K01113: alkaline phosphatase D [EC:3.1.3.1]	72	14	5.83E-08	0	0	0.869913867
K16167	K16167	K16167: NO_NAME	72	14	5.20E-08	0	0	0.869913867
K05597	K05597	K05597: glutamin-(asparagin-)ase [EC:3.5.1.38]	72	14	7.65E-07	0	0	0.869913867
K18099	K18099	"K18099: LuxR family transcriptional regulator, quorum-sensing system regulator RhlR"	72	14	4.65E-07	0	0	0.869913867
K00237	K00237	K00237: succinate dehydrogenase (ubiquinone) membrane anchor subunit	72	14	4.66E-07	0	0	0.869913867
K06268	K06268	K06268: serine/threonine-protein phosphatase 2B regulatory subunit	72	14	1.65E-07	0	0	0.869913867
K11915	K11915	K11915: serine/threonine protein phosphatase Stp1 [EC:3.1.3.16]	72	14	7.77E-07	0	0	0.869913867
K19054	K19054	K19054: frataxin [EC:1.16.3.1]	72	14	5.05E-08	0	0	0.869913867
K18100	K18100	K18100: rhamnosyltransferase subunit A [EC:2.4.1.-]	72	14	6.75E-07	0	0	0.869913867
K03182	K03182	K03182: 4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]	72	14	0.00011368	0.000166151	1.461569244	0.869913867
K05603	K05603	K05603: formimidoylglutamate deiminase [EC:3.5.3.13]	72	14	8.60E-07	0	0	0.869913867
K12658	K12658	K12658: 4-hydroxyproline epimerase [EC:5.1.1.8]	72	14	6.53E-07	0	0	0.869913867
K11913	K11913	K11913: type VI secretion system protein	72	14	1.46E-07	0	0	0.869913867
K07487	K07487	K07487: transposase	72	14	1.32E-06	0	0	0.869913867
K06306	K06306	K06306: spore germination protein	72	14	7.89E-08	0	0	0.869913867
K11894	K11894	K11894: type VI secretion system protein ImpI	72	14	5.99E-07	0	0	0.869913867
K05578	K05578	K05578: NAD(P)H-quinone oxidoreductase subunit 6 [EC:1.6.5.3]	72	14	1.01E-07	0	0	0.869913867
K12416	K12416	K12416: anaphase-promoting complex subunit SWM1	72	14	1.22E-07	0	0	0.869913867
K06418	K06418	K06418: small acid-soluble spore protein A (major alpha-type SASP)	72	14	6.97E-08	0	0	0.869913867
K12691	K12691	K12691: oligosaccharyl transferase complex subunit OST5	72	14	5.80E-07	0	0	0.869913867
K12686	K12686	K12686: outer membrane lipase/esterase	72	14	7.25E-07	0	0	0.869913867
K18188	K18188	K18188: NO_NAME	72	14	1.36E-07	0	0	0.869913867
K08995	K08995	K08995: putative membrane protein	72	14	5.42E-07	0	0	0.869913867
K13239	K13239	"K13239: peroxisomal 3,2-trans-enoyl-CoA isomerase [EC:5.3.3.8]"	72	14	8.84E-08	0	0	0.869913867
K05572	K05572	K05572: NAD(P)H-quinone oxidoreductase subunit 1 [EC:1.6.5.3]	72	14	8.97E-08	0	0	0.869913867
K05573	K05573	K05573: NAD(P)H-quinone oxidoreductase subunit 2 [EC:1.6.5.3]	72	14	7.34E-07	7.39E-07	1.006225104	0.869913867
K17668	K17668	K17668: NO_NAME	72	14	8.49E-08	0	0	0.869913867
K18184	K18184	K18184: NO_NAME	72	14	1.30E-07	0	0	0.869913867
K05575	K05575	K05575: NAD(P)H-quinone oxidoreductase subunit 4 [EC:1.6.5.3]	72	14	1.20E-07	0	0	0.869913867
K14784	K14784	K14784: NO_NAME	72	14	1.58E-07	0	0	0.869913867
K18093	K18093	K18093: imipenem/basic amino acid-specific outer membrane pore [EC:3.4.21.-]	72	14	9.95E-07	0	0	0.869913867
K16368	K16368	K16368: diacylglycerol kinase (CTP) [EC:2.7.1.174]	72	14	9.99E-08	0	0	0.869913867
K12624	K12624	K12624: U6 snRNA-associated Sm-like protein LSm5	72	14	3.38E-07	0	0	0.869913867
K18129	K18129	"K18129: TetR/AcrR family transcriptional regulator, mexXY operon repressor"	72	14	1.27E-07	0	0	0.869913867
K11252	K11252	K11252: histone H2B	72	14	2.13E-07	0	0	0.869913867
K01968	K01968	K01968: 3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]	72	14	5.00E-07	0	0	0.869913867
K00305	K00305	"K00305: sarcosine oxidase, subunit gamma [EC:1.5.3.1]"	72	14	6.06E-07	0	0	0.869913867
K18974	K18974	K18974: dihydropteroate synthase type 1 [EC:2.5.1.15]	72	14	2.73E-06	1.82E-05	6.653370738	0.869913867
K05829	K05829	K05829: LysW-gamma-L-alpha-aminoadipyl-6-phosphate/LysW-L-glutamyl-5-phosphate reductase [EC:1.2.1.-]	72	14	2.50E-08	0	0	0.869913867
K09386	K09386	K09386: hypothetical protein	72	14	1.60E-07	0	0	0.869913867
K02980	K02980	K02980: small subunit ribosomal protein S29e	72	14	6.18E-07	0	0	0.869913867
K09568	K09568	K09568: FK506-binding protein 1	72	14	2.74E-07	0	0	0.869913867
K10819	K10819	K10819: histidine kinase	72	14	1.67E-08	0	0	0.869913867
K05830	K05830	K05830: LysW-gamma-L-lysine/LysW-L-ornithine aminotransferase [EC:2.6.1.-]	72	14	7.08E-08	0	0	0.869913867
K18917	K18917	K18917: NO_NAME	72	14	1.57E-07	0	0	0.869913867
K03221	K03221	K03221: type III secretion protein F	72	14	1.07E-06	0	0	0.869913867
K11341	K11341	K11341: YEATS domain-containing protein 4	72	14	1.36E-07	0	0	0.869913867
K00301	K00301	K00301: sarcosine oxidase [EC:1.5.3.1]	72	14	6.49E-08	0	0	0.869913867
K11371	K11371	K11371: ADA HAT complex component 2	72	14	1.54E-07	0	0	0.869913867
K05913	K05913	"K05913: 2,4'-dihydroxyacetophenone dioxygenase [EC:1.13.11.41]"	72	14	7.78E-07	0	0	0.869913867
K09481	K09481	K09481: protein transport protein SEC61 subunit beta	72	14	9.00E-07	0	0	0.869913867
K11303	K11303	K11303: histone acetyltransferase 1 [EC:2.3.1.48]	72	14	7.12E-08	0	0	0.869913867
K18064	K18064	K18064: NO_NAME	72	14	5.09E-07	0	0	0.869913867
K11384	K11384	"K11384: two-component system, NtrC family, response regulator AlgB"	72	14	9.83E-07	0	0	0.869913867
K18459	K18459	K18459: NO_NAME	72	14	7.52E-07	0	0	0.869913867
K03192	K03192	K03192: urease accessory protein	72	14	5.05E-07	0	0	0.869913867
K01114	K01114	K01114: phospholipase C [EC:3.1.4.3]	72	14	1.52E-06	0	0	0.869913867
K06148	K06148	"K06148: ATP-binding cassette, subfamily C, bacterial"	72	14	5.57E-05	4.67E-05	0.837667989	0.869913867
K18131	K18131	"K18131: MarR family transcriptional regulator, repressor of the mexAB-oprM multidrug resistance operon"	72	14	4.93E-07	0	0	0.869913867
K18172	K18172	K18172: NO_NAME	72	14	7.03E-07	0	0	0.869913867
K09699	K09699	K09699: 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168]	72	14	5.96E-07	0	0	0.869913867
K14686	K14686	"K14686: solute carrier family 31 (copper transporter), member 1"	72	14	1.45E-07	0	0	0.869913867
K10764	K10764	K10764: O-succinylhomoserine sulfhydrylase [EC:2.5.1.-]	72	14	6.26E-07	0	0	0.869913867
K06138	K06138	K06138: pyrroloquinoline quinone biosynthesis protein D	72	14	1.14E-06	0	0	0.869913867
K00259	K00259	K00259: alanine dehydrogenase [EC:1.4.1.1]	72	14	0.000274397	0.000287565	1.047988134	0.869913867
K14526	K14526	K14526: ribonuclease P/MRP protein subunit POP7 [EC:3.1.26.5]	72	14	1.40E-07	0	0	0.869913867
K16219	K16219	K16219: NO_NAME	72	14	2.50E-07	0	0	0.869913867
K09690	K09690	K09690: lipopolysaccharide transport system permease protein	72	14	0.00021771	0.000241046	1.107187988	0.869913867
K14531	K14531	K14531: ribonuclease MRP protein subunit SNM1	72	14	5.75E-08	0	0	0.869913867
K19591	K19591	K19591: NO_NAME	72	14	1.00E-06	0	0	0.869913867
K14532	K14532	K14532: ribonuclease MRP protein subunit RMP1	72	14	2.27E-07	0	0	0.869913867
K12243	K12243	"K12243: AraC family transcriptional regulator, transcriptional activator of"	72	14	8.65E-07	0	0	0.869913867
K18045	K18045	K18045: NO_NAME	72	14	1.21E-07	0	0	0.869913867
K06443	K06443	K06443: lycopene beta-cyclase [EC:5.5.1.19]	72	14	2.17E-08	0	0	0.869913867
K12273	K12273	K12273: translocation protein SEC66	72	14	7.75E-08	0	0	0.869913867
K14969	K14969	K14969: NO_NAME	72	14	1.78E-07	0	0	0.869913867
K08363	K08363	K08363: mercuric ion transport protein	72	14	4.72E-06	7.64E-06	1.617410017	0.869913867
K00418	K00418	K00418: ubiquinol-cytochrome c reductase subunit 8	72	14	2.85E-07	0	0	0.869913867
K03123	K03123	K03123: transcription initiation factor TFIIA small subunit	72	14	1.87E-07	0	0	0.869913867
K02900	K02900	K02900: large subunit ribosomal protein L27Ae	72	14	1.10E-07	0	0	0.869913867
K09919	K09919	K09919: hypothetical protein	72	14	8.95E-07	0	0	0.869913867
K04756	K04756	K04756: alkyl hydroperoxide reductase subunit D	72	14	4.57E-08	0	0	0.869913867
K18000	K18000	K18000: anthranilate-CoA ligase [EC:6.2.1.32]	72	14	7.29E-07	0	0	0.869913867
K17489	K17489	K17489: methylmalonyl-CoA carboxyltransferase 12S subunit [EC:2.1.3.1]	72	14	5.27E-08	0	0	0.869913867
K02179	K02179	K02179: cell cycle arrest protein BUB2	72	14	1.10E-07	0	0	0.869913867
K04782	K04782	K04782: isochorismate pyruvate lyase [EC:4.2.99.21]	72	14	9.21E-07	0	0	0.869913867
K18003	K18003	K18003: 2-heptyl-4(1H)-quinolone synthase [EC:2.3.1.230]	72	14	8.27E-07	0	0	0.869913867
K08493	K08493	K08493: vesicle transport through interaction with t-SNAREs 1	72	14	5.82E-08	0	0	0.869913867
K02150	K02150	K02150: V-type H+-transporting ATPase subunit E	72	14	1.19E-07	0	0	0.869913867
K11135	K11135	K11135: Pin2-interacting protein X1	72	14	1.16E-07	0	0	0.869913867
K05375	K05375	K05375: MbtH protein	72	14	1.55E-06	0	0	0.869913867
K11924	K11924	"K11924: DtxR family transcriptional regulator, manganese transport regulator"	72	14	5.68E-05	8.20E-05	1.443370586	0.869913867
K00446	K00446	"K00446: catechol 2,3-dioxygenase [EC:1.13.11.2]"	72	14	7.01E-08	0	0	0.869913867
K09938	K09938	K09938: hypothetical protein	72	14	6.48E-07	0	0	0.869913867
K00148	K00148	K00148: glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]	72	14	8.86E-07	0	0	0.869913867
K12253	K12253	K12253: 5-guanidino-2-oxopentanoate decarboxylase [EC:4.1.1.75]	72	14	6.42E-07	0	0	0.869913867
K08338	K08338	"K08338: ubiquitin-like-conjugating enzyme ATG10, fungi type"	72	14	1.21E-07	0	0	0.869913867
K12255	K12255	K12255: guanidinobutyrase [EC:3.5.3.7]	72	14	4.39E-07	0	0	0.869913867
K07311	K07311	K07311: putative dimethyl sulfoxide reductase subunit YnfG (DMSO reductase	72	14	3.95E-05	6.30E-05	1.596037379	0.869913867
K11680	K11680	K11680: non-histone protein 10	72	14	4.05E-07	0	0	0.869913867
K06691	K06691	K06691: 26S proteasome regulatory subunit N13	72	14	2.36E-07	0	0	0.869913867
K19215	K19215	K19215: beta-lactamase class C ACT/MIR [EC:3.5.2.6]	72	14	3.86E-08	0	0	0.869913867
K17736	K17736	K17736: NO_NAME	72	14	7.91E-07	0	0	0.869913867
K06688	K06688	K06688: ubiquitin-conjugating enzyme E2 C [EC:2.3.2.23]	72	14	2.24E-07	0	0	0.869913867
K19214	K19214	K19214: beta-lactamase class C ACC [EC:3.5.2.6]	72	14	2.62E-06	0	0	0.869913867
K01795	K01795	K01795: mannuronan 5-epimerase [EC:5.1.3.37]	72	14	7.67E-07	0	0	0.869913867
K11129	K11129	K11129: H/ACA ribonucleoprotein complex subunit 2	72	14	1.57E-07	0	0	0.869913867
K15012	K15012	"K15012: two-component system, response regulator RegA"	72	14	1.07E-06	0	0	0.869913867
K02204	K02204	K02204: homoserine kinase type II [EC:2.7.1.39]	72	14	6.95E-07	0	0	0.869913867
K08505	K08505	K08505: protein transport protein SFT1	72	14	1.04E-07	0	0	0.869913867
K00612	K00612	K00612: carbamoyltransferase	72	14	9.20E-07	0	0	0.869913867
K00154	K00154	K00154: coniferyl-aldehyde dehydrogenase	72	14	9.17E-07	0	0	0.869913867
K16081	K16081	K16081: NO_NAME	72	14	6.90E-07	0	0	0.869913867
K03343	K03343	K03343: putrescine oxidase [EC:1.4.3.10]	72	14	5.04E-08	0	0	0.869913867
K19131	K19131	K19131: NO_NAME	72	14	1.50E-08	0	0	0.869913867
K02140	K02140	K02140: F-type H+-transporting ATPase subunit g	72	14	3.62E-07	0	0	0.869913867
K06600	K06600	K06600: chemosensory pili system protein ChpE	72	14	6.76E-07	0	0	0.869913867
K02738	K02738	K02738: 20S proteasome subunit beta 1 [EC:3.4.25.1]	72	14	1.43E-07	0	0	0.869913867
K14821	K14821	K14821: NO_NAME	72	14	3.09E-07	0	0	0.869913867
K18197	K18197	K18197: NO_NAME	72	14	4.56E-07	0	0	0.869913867
K00406	K00406	K00406: cytochrome c oxidase cbb3-type subunit III	72	14	5.62E-07	0	0	0.869913867
K12399	K12399	K12399: AP-3 complex subunit sigma	72	14	2.10E-07	0	0	0.869913867
K00405	K00405	K00405: cytochrome c oxidase cbb3-type subunit II	72	14	1.63E-06	0	0	0.869913867
K00404	K00404	K00404: cytochrome c oxidase cbb3-type subunit I [EC:1.9.3.1]	72	14	8.88E-07	0	0	0.869913867
K08976	K08976	K08976: putative membrane protein	72	14	8.34E-08	0	0	0.869913867
K08977	K08977	K08977: putative membrane protein	72	14	2.98E-08	0	0	0.869913867
K14268	K14268	K14268: 5-aminovalerate/4-aminobutyrate aminotransferase [EC:2.6.1.48 2.6.1.19]	72	14	8.03E-07	0	0	0.869913867
K19169	K19169	K19169: NO_NAME	72	14	1.64E-07	0	0	0.869913867
K11569	K11569	K11569: DASH complex subunit DAD4	72	14	6.03E-07	0	0	0.869913867
K02141	K02141	K02141: F-type H+-transporting ATPase subunit h	72	14	3.19E-07	0	0	0.869913867
K14836	K14836	K14836: NO_NAME	72	14	7.87E-08	0	0	0.869913867
K17496	K17496	K17496: NO_NAME	72	14	2.07E-07	0	0	0.869913867
K00822	K00822	K00822: beta-alanine--pyruvate transaminase [EC:2.6.1.18]	72	14	8.35E-07	0	0	0.869913867
K14851	K14851	K14851: NO_NAME	72	14	1.31E-07	0	0	0.869913867
K14850	K14850	K14850: NO_NAME	72	14	1.94E-07	0	0	0.869913867
K08517	K08517	K08517: vesicle transport protein SEC22	72	14	1.19E-07	0	0	0.869913867
K00175	K00175	K00175: 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	72	14	0.000518713	0.000730798	1.408869245	0.869913867
K08642	K08642	K08642: LasA protease [EC:3.4.24.-]	72	14	9.49E-07	0	0	0.869913867
K14846	K14846	K14846: NO_NAME	72	14	4.78E-08	0	0	0.869913867
K13061	K13061	K13061: acyl homoserine lactone synthase [EC:2.3.1.184]	72	14	5.44E-07	0	0	0.869913867
K01851	K01851	K01851: salicylate biosynthesis isochorismate synthase [EC:5.4.4.2]	72	14	6.94E-07	0	0	0.869913867
K17686	K17686	K17686: Cu+-exporting ATPase [EC:3.6.3.54]	72	14	0.000154937	0.000183178	1.182267924	0.869913867
K08721	K08721	K08721: multidrug resistance outer membrane protein OprJ	72	14	6.02E-07	0	0	0.869913867
K18004	K18004	K18004: NO_NAME	72	14	9.75E-07	0	0	0.869913867
K16636	K16636	K16636: NO_NAME	72	14	1.14E-06	0	0	0.869913867
K01555	K01555	K01555: fumarylacetoacetase [EC:3.7.1.2]	72	14	4.86E-07	0	0	0.869913867
K17878	K17878	K17878: NO_NAME	72	14	1.29E-07	2.83E-08	0.219030442	0.874520593
K19565	K19565	K19565: NO_NAME	72	14	1.35E-07	7.79E-09	0.057798246	0.874520593
K17891	K17891	K17891: NO_NAME	72	14	2.77E-07	8.02E-08	0.289894445	0.874520593
K00915	K00915	K00915: inositol-polyphosphate multikinase [EC:2.7.1.140 2.7.1.151]	72	14	2.85E-07	8.25E-08	0.289076484	0.874520593
K17619	K17619	K17619: NO_NAME	72	14	5.20E-07	9.11E-08	0.175153184	0.874520593
K17806	K17806	K17806: NO_NAME	72	14	3.54E-07	4.14E-08	0.116702683	0.874520593
K17989	K17989	K17989: L-serine/L-threonine ammonia-lyase [EC:4.3.1.17 4.3.1.19]	72	14	2.28E-07	1.93E-08	0.084668434	0.874520593
K01094	K01094	K01094: phosphatidylglycerophosphatase GEP4 [EC:3.1.3.27]	72	14	8.24E-08	4.52E-08	0.547838219	0.874520593
K18203	K18203	K18203: NO_NAME	72	14	1.42E-07	5.82E-08	0.408715475	0.874520593
K00222	K00222	K00222: Delta14-sterol reductase [EC:1.3.1.70]	72	14	2.24E-07	3.28E-08	0.146774218	0.874520593
K00227	K00227	K00227: Delta7-sterol 5-desaturase [EC:1.14.19.20]	72	14	2.87E-07	3.80E-08	0.132189569	0.874520593
K00235	K00235	K00235: succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]	72	14	4.47E-07	8.68E-08	0.194285018	0.874520593
K18759	K18759	K18759: NO_NAME	72	14	2.97E-07	6.77E-08	0.227647022	0.874520593
K17664	K17664	K17664: NO_NAME	72	14	5.97E-08	3.46E-08	0.58022245	0.874520593
K18118	K18118	K18118: succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]	72	14	1.01E-05	5.07E-05	5.035588235	0.874520593
K01240	K01240	K01240: uridine nucleosidase [EC:3.2.2.3]	72	14	2.32E-07	2.05E-08	0.088180215	0.874520593
K17660	K17660	K17660: NO_NAME	72	14	1.58E-07	3.19E-08	0.202684156	0.874520593
K17656	K17656	K17656: NO_NAME	72	14	6.50E-08	3.29E-08	0.506537205	0.874520593
K17617	K17617	K17617: NO_NAME	72	14	1.18E-07	2.61E-08	0.221364589	0.874520593
K18939	K18939	K18939: NO_NAME	72	14	7.79E-08	2.83E-08	0.363985119	0.874520593
K16185	K16185	K16185: Ras-related GTP-binding protein A/B	72	14	2.11E-07	4.84E-08	0.22939382	0.874520593
K01381	K01381	K01381: saccharopepsin	72	14	2.10E-07	4.41E-08	0.209917667	0.874520593
K17757	K17757	K17757: NO_NAME	72	14	1.43E-07	6.59E-08	0.46190218	0.874520593
K00452	K00452	"K00452: 3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]"	72	14	1.55E-07	8.93E-08	0.575362984	0.874520593
K16948	K16948	K16948: NO_NAME	72	14	1.72E-07	1.09E-08	0.063455504	0.874520593
K17268	K17268	K17268: NO_NAME	72	14	1.18E-07	4.32E-08	0.36773635	0.874520593
K17804	K17804	K17804: NO_NAME	72	14	2.53E-07	1.60E-08	0.063042704	0.874520593
K17803	K17803	K17803: NO_NAME	72	14	1.62E-07	2.89E-08	0.178463372	0.874520593
K01440	K01440	K01440: nicotinamidase [EC:3.5.1.19]	72	14	3.91E-07	1.22E-07	0.312007515	0.874520593
K18342	K18342	K18342: NO_NAME	72	14	1.54E-07	2.45E-08	0.158820744	0.874520593
